3.0,15.2,110
1.5,4.8,110
9.6,9.6,110
6.3,7.0,110
3.3,9.2,110
-0.3,9.2,110
-4.5,2.6,110
-9.6,-2.0,110
-2.7,-1.6,110
-3.9,3.2,110
-2.7,6.6,110
4.5,2.0,110
9.9,4.4,110
5.1,1.4,110
9.6,-1.6,110
4.2,1.4,110
1.8,7.8,110
3.3,7.6,110
6.9,4.4,110
9.0,1.8,110
3.9,0.6,113
-1.2,5,113
-6.9,2.5,113
-4.5,2,113
-7.8,2.2,113
-8.1,1,113
-7.8,-1,113
-3.3,3.6,113
-4.5,4.2,113
-0.3,4.2,113
-9.6,-2.0,113
-2.7,-1.6,113
-3.9,2.2,113
-2.6,3,113
4.5,1.5,113
9.9,3.4,113
5.1,1.4,113
9.6,-1.6,113
4.2,1.4,113
1.8,7.8,113
3.3,7.6,113
6.9,4.4,113
9.0,1.8,113
3.9,0.6,113
-1.2,5.6,113
-6.9,3.2,113
-4.5,2.6,113
-7.8,3.2,113
-8.1,2.0,113
-7.8,-2.0,113
-3.3,4.6,113
-4.5,6.2,113
-0.3,6.2,113
-9.6,-2.0,113
-2.7,-1.6,113
-3.9,3.2,113
-2.7,6.6,113
4.5,2.0,113
9.9,4.4,113
5.1,1.4,113
9.6,-1.6,113
