0.0,0.0,40
0.8,24.5,140
0.3,20.0,140
0.3,23.5,140
2.0,23.2,100
3.1,19.5,100
3.8,12.6,100
4.2,10.6,100
5.2,4.8,100
2.8,6.4,85
3.1,5.8,68
4.8,7.1,68
5.0,4.4,68
6.2,2.3,68
7.6,1.8,68
7.0,0.5,68
4.2,-1.6,68
6.2,1.6,68
-1.4,4.6,68
0.0,5.3,66
-3.9,3.9,66
-4.5,2.3,66
-4.5,2.5,66
-6.7,3.0,66
-7.0,3.0,66
-3.1,3.2,66
1.7,3.7,66
-1.4,4.8,66
-3.6,4.4,66
-5.0,3.5,70
-6.2,2.1,70
-5.6,-0.5,70
-5.6,-0.5,70
-4.8,3.7,70
-4.8,3.7,67
-0.8,4.1,67
-2.8,3.5,67
2.0,3.5,67
2.0,3.5,66
-1.4,3.7,67
-1.4,2.8,67
-3.6,1.6,67
-1.4,2.3,67
0.0,3.0,67
3.6,1.8,67
